entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-65.28783382,-27.41749651
,,,,,,-65.23950103,-27.33842738
,,,,,,-65.28820703,-27.44487792
,,,,,,-65.34057148,-27.44545138
,,,,,,-65.4232835,-27.4242648
,,,,,,-65.40258917,-27.41722527
,,,,,,-65.36395999,-27.48488478
,,,,,,-65.42123838,-27.45452506
,,,,,,-65.47449938,-27.45459186
,,,,,,-65.49205304,-27.4836024
,,,,,,-65.42654146,-27.50563484
,,,,,,-65.40771416,-27.48712051
,,,,,,-65.3395786,-27.51233816
,,,,,,-65.43725965,-27.64932095
,,,,,,-65.43601605,-27.64742771
,,,,,,-65.43828399,-27.65402682
,,,,,,-65.43917864,-27.64697799
,,,,,,-65.37350151,-27.52994247
,,,,,,-65.40505132,-27.54816072
,,,,,,-65.4866019,-27.61575556
,,,,,,-65.08747672,-27.34905702
,,,,,,-65.14361388,-27.37834075
,,,,,,-65.15308942,-27.3725366
,,,,,,-65.16960365,-27.33982149
,,,,,,-65.06650617,-27.41134151
,,,,,,-65.52192661,-27.67631298
,,,,,,-65.57475729,-27.6759966
,,,,,,-65.57092501,-27.76225873
,,,,,,-68.08424406,-38.90703098
,,,,,,-68.06155536,-38.95910714
,,,,,,-68.07634287,-38.96759917
,,,,,,-68.08266663,-38.94314039
,,,,,,-69.87768092,-37.05308655
,,,,,,-68.15325904,-38.82193102
,,,,,,-68.1378501,-38.82507982
,,,,,,-68.23047462,-38.94978947
,,,,,,-68.06585125,-38.95670521
,,,,,,-68.12682112,-38.9388872
,,,,,,-68.03812998,-38.94818333
,,,,,,-68.04893362,-38.95632316
,,,,,,-68.09088706,-38.93946244
,,,,,,-68.12454441,-38.93270406
,,,,,,-68.05652331,-38.94432071
,,,,,,-68.08387754,-38.95020564
,,,,,,-70.67406321,-37.17968004
,,,,,,-68.14480975,-38.81724758
,,,,,,-68.2283126,-38.94822382
,,,,,,-70.69145901,-36.98749803
,,,,,,-70.7763501,-37.05700425
,,,,,,-70.7767881,-37.27221654
,,,,,,-70.74544224,-37.19067283
,,,,,,-70.77024078,-37.22380467
,,,,,,-70.33421494,-37.03962906
,,,,,,-70.41116271,-37.25770186
,,,,,,-68.57104375,-39.0747929
,,,,,,-68.7858342,-39.26081875
,,,,,,-70.79949581,-37.19421916
,,,,,,-70.66941918,-36.92168447
,,,,,,-70.6771936,-36.84710342
,,,,,,-68.15002626,-38.93740539
,,,,,,-68.1455507,-38.95478694
,,,,,,-70.25928497,-37.12871329
,,,,,,-70.2462565,-37.16916537
,,,,,,-70.82512656,-37.20546342
,,,,,,-70.73192192,-37.14194553
,,,,,,-70.40558764,-37.13384055
,,,,,,-70.42189927,-37.02914917
,,,,,,-70.14119771,-39.66767259
,,,,,,-70.76813877,-37.12091375
,,,,,,-68.2316159,-38.95907794
,,,,,,-69.96571452,-37.31890278
,,,,,,-68.08319663,-38.94777415
,,,,,,-68.0833187,-38.94213929
,,,,,,-68.12243455,-38.95245972
,,,,,,-68.10168287,-38.94286306
,,,,,,-68.08562951,-38.91070122
,,,,,,-68.13148471,-38.92681623
,,,,,,-68.23729344,-38.96251163
,,,,,,-68.17050361,-38.73679568
,,,,,,-68.22361883,-38.95207297
,,,,,,-68.22419623,-38.9424967
,,,,,,-68.11645628,-38.94701905
,,,,,,-68.09216487,-38.89891161
,,,,,,-68.04167737,-38.96713466
,,,,,,-68.08783239,-38.93721461
,,,,,,-68.1362188,-38.90662857
,,,,,,-68.0651097,-38.95148872
,,,,,,-70.66842896,-37.17909524
,,,,,,-68.22888422,-38.9417843
,,,,,,-68.22988001,-38.953965
,,,,,,-68.21698377,-38.95116684
,,,,,,-68.3310244,-38.95485216
,,,,,,-68.13704945,-38.82504694
,,,,,,-68.13527049,-38.77110095
,,,,,,-68.11993806,-38.83025502
,,,,,,-68.18426435,-38.9440723
,,,,,,-68.07774848,-38.94916813
,,,,,,-68.31925022,-38.98061105
,,,,,,-68.10390405,-38.94520486
,,,,,,-70.76422826,-36.75241939
,,,,,,-68.042429,-38.96996985
,,,,,,-68.22249063,-38.9535637
,,,,,,-68.02816479,-38.95396641
,,,,,,-68.11482871,-38.94719359
,,,,,,-68.23729918,-38.96802074
,,,,,,-68.07407341,-38.94083078
,,,,,,-68.57241823,-39.07545037
,,,,,,-68.23685985,-38.96800621
,,,,,,-68.06025062,-38.97591653
,,,,,,-70.74993339,-36.98876624
,,,,,,-68.1253818,-38.95282655
,,,,,,-64.06169656,-23.90993451
,,,,,,-64.29614038,-23.92427189
,,,,,,-64.41512283,-23.66704882
,,,,,,-64.41449646,-23.6677163
,,,,,,-64.30976462,-23.9185538
,,,,,,-64.30399095,-23.97597741
,,,,,,-64.3055497,-23.97753456
,,,,,,-65.97465573,-23.31919956
,,,,,,-65.96730186,-23.28703987
,,,,,,-65.9889967,-23.19080704
,,,,,,-65.98901261,-23.19016773
,,,,,,-65.60127332,-23.31638215
,,,,,,-65.55303123,-23.22245857
,,,,,,-65.63916321,-23.03636908
,,,,,,-65.68067106,-23.21395208
,,,,,,-65.68147146,-23.21573455
,,,,,,-65.68183138,-23.21657729
,,,,,,-65.68232275,-23.21688213
,,,,,,-65.5482217,-23.15334022
,,,,,,-65.77022228,-23.28560327
,,,,,,-65.80930866,-23.21662686
,,,,,,-65.79397347,-23.16931518
,,,,,,-65.7628964,-23.10110019
,,,,,,-65.91572006,-23.01934933
,,,,,,-65.69727009,-23.57128004
,,,,,,-65.69758256,-23.56579303
,,,,,,-65.81908749,-23.55266716
,,,,,,-65.96348559,-23.53322358
,,,,,,-65.95753255,-23.38476095
,,,,,,-65.67760816,-23.34329816
,,,,,,-65.76851456,-24.39296396
,,,,,,-65.95122144,-24.45125902
,,,,,,-65.88620908,-24.49153252
,,,,,,-65.89073547,-24.49129092
,,,,,,-65.84499331,-24.59059227
,,,,,,-65.82575876,-24.42481458
,,,,,,-65.73052935,-24.56256271
,,,,,,-64.93342842,-24.30820249
,,,,,,-64.95832412,-24.29912629
,,,,,,-64.87195879,-24.26732037
,,,,,,-64.87090174,-24.3094535
,,,,,,-64.88142379,-24.29703636
,,,,,,-64.9068971,-24.31864326
,,,,,,-64.83313755,-24.27233928
,,,,,,-64.76360902,-24.27200445
,,,,,,-64.76590582,-24.27201746
,,,,,,-64.731888,-24.27143812
,,,,,,-64.66114464,-24.31427514
,,,,,,-64.6609443,-24.30972231
,,,,,,-64.64053731,-24.27133018
,,,,,,-64.70190826,-24.241482
,,,,,,-64.68000097,-24.17777974
,,,,,,-64.67690368,-24.18169133
,,,,,,-64.58386409,-24.06980792
,,,,,,-64.56588318,-24.02660228
,,,,,,-64.80775712,-24.22041113
,,,,,,-64.79088355,-24.19856962
,,,,,,-64.82261077,-24.22194656
,,,,,,-64.84141026,-24.17741043
,,,,,,-64.80711866,-24.07094721
,,,,,,-64.84312059,-24.23511304
,,,,,,-64.86052091,-24.24119921
,,,,,,-64.8695517,-24.23739274
,,,,,,-64.87122076,-24.2379207
,,,,,,-64.87278788,-24.23543731
,,,,,,-64.86751403,-24.23375062
,,,,,,-64.8672038,-24.22856893
,,,,,,-64.86032326,-24.2219232
,,,,,,-64.8370884,-24.22367584
,,,,,,-64.84048794,-24.22549001
,,,,,,-64.84007898,-24.22633489
,,,,,,-64.86885547,-24.22351249
,,,,,,-64.86815547,-24.23241249
,,,,,,-64.86012754,-24.21523468
,,,,,,-64.86055551,-24.23011249
,,,,,,-64.87395273,-24.24504849
,,,,,,-64.88306168,-24.23596114
,,,,,,-64.86915547,-24.23461249
