"Código de radio.","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa","Población de 18 y más con secundaria completa","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en WKT"
"066230501",925,255,50,29,96,80,670,127,313,111,119,521,130,30,3,48,49,391,69,179,68,75,404,125,20,26,48,31,279,58,134,43,44,62,592,296,296,200,66,30,28,95,76,80,14,29,77,91,141,"06","Buenos Aires","06623","Pergamino","066230501",925,337,-33.894666,-60.5858,0.1375805213399,"POLYGON((-60.583122 -33.896775,-60.583132 -33.896789,-60.583209 -33.896765,-60.584176 -33.896433,-60.586027 -33.895803,-60.586938 -33.895488,-60.587920 -33.895158,-60.588913 -33.894818,-60.588510 -33.894026,-60.588121 -33.893275,-60.587674 -33.892440,-60.586763 -33.892737,-60.584848 -33.893354,-60.585271 -33.894223,-60.583421 -33.894833,-60.582358 -33.895192,-60.582764 -33.896005,-60.583122 -33.896775))"
"066230305",657,140,33,15,47,45,517,79,197,116,125,378,76,18,7,26,25,302,41,108,65,88,279,64,15,8,21,20,215,38,89,51,37,18,491,335,156,178,64,93,15,47,42,44,7,15,42,50,91,"06","Buenos Aires","06623","Pergamino","066230305",676,255,-33.894554,-60.578101,0.10647797397795,"POLYGON((-60.577591 -33.896261,-60.577947 -33.896998,-60.579266 -33.896448,-60.580253 -33.896055,-60.579786 -33.895219,-60.579415 -33.894588,-60.578910 -33.893627,-60.578850 -33.893546,-60.578482 -33.892874,-60.578080 -33.892129,-60.576044 -33.892823,-60.577629 -33.896245,-60.577591 -33.896261))"
"066230307",526,82,25,7,23,27,444,67,152,102,123,326,48,18,4,14,12,278,42,89,60,87,200,34,7,3,9,15,166,25,63,42,36,13,428,314,114,181,51,82,7,23,26,27,6,10,26,29,64,"06","Buenos Aires","06623","Pergamino","066230307",532,257,-33.894989,-60.573307,0.071206007150871,"POLYGON((-60.571572 -33.895745,-60.571524 -33.896119,-60.571450 -33.896129,-60.571416 -33.896361,-60.571494 -33.896350,-60.571482 -33.896439,-60.573822 -33.896082,-60.574080 -33.896601,-60.575043 -33.896246,-60.574851 -33.895832,-60.574241 -33.894325,-60.573557 -33.892649,-60.572415 -33.893026,-60.573209 -33.894749,-60.571637 -33.895235,-60.571572 -33.895745))"
"066230306",615,104,19,10,33,42,511,76,201,113,121,367,56,8,6,20,22,311,43,116,66,86,248,48,11,4,13,20,200,33,85,47,35,25,482,346,136,188,71,87,10,33,40,41,13,20,47,52,93,"06","Buenos Aires","06623","Pergamino","066230306",632,287,-33.894971,-60.575756,0.091531325966981,"POLYGON((-60.574548 -33.893333,-60.573955 -33.893535,-60.573915 -33.893438,-60.573883 -33.893448,-60.574241 -33.894325,-60.574851 -33.895832,-60.575431 -33.897071,-60.575469 -33.897055,-60.575526 -33.897175,-60.576299 -33.896816,-60.577629 -33.896245,-60.576044 -33.892823,-60.574548 -33.893333))"
"066230207",731,155,38,15,62,40,576,103,211,118,144,394,72,18,4,28,22,322,54,118,64,86,337,83,20,11,34,18,254,49,93,54,58,40,526,275,251,199,52,24,15,61,35,38,9,32,31,47,99,"06","Buenos Aires","06623","Pergamino","066230207",731,269,-33.894248,-60.560405,0.15662911531329,"POLYGON((-60.560166 -33.893076,-60.559806 -33.893193,-60.559546 -33.892647,-60.559497 -33.892664,-60.559468 -33.892606,-60.556358 -33.893681,-60.556496 -33.893910,-60.556652 -33.894124,-60.556793 -33.894285,-60.556923 -33.894409,-60.557084 -33.894544,-60.557211 -33.894645,-60.557350 -33.894734,-60.557510 -33.894814,-60.557811 -33.894931,-60.558035 -33.895001,-60.558292 -33.895054,-60.558546 -33.895085,-60.558782 -33.895098,-60.559773 -33.895108,-60.560086 -33.895131,-60.560430 -33.895205,-60.560735 -33.895297,-60.561037 -33.895417,-60.561308 -33.895555,-60.561575 -33.895733,-60.561748 -33.895882,-60.561890 -33.896046,-60.562020 -33.896243,-60.562105 -33.896405,-60.562172 -33.896387,-60.562334 -33.896320,-60.562890 -33.896142,-60.563738 -33.895847,-60.562101 -33.892433,-60.561221 -33.892714,-60.560291 -33.893036,-60.560166 -33.893076))"
"066230308",565,107,28,8,39,32,458,69,177,113,99,331,60,12,4,25,19,271,35,102,63,71,234,47,16,4,14,13,187,34,75,50,28,29,429,299,130,169,50,80,8,39,31,32,10,15,38,40,78,"06","Buenos Aires","06623","Pergamino","066230308",565,236,-33.894918,-60.5701,0.12381278653326,"POLYGON((-60.568278 -33.894392,-60.566975 -33.894822,-60.566945 -33.894757,-60.566939 -33.894758,-60.567377 -33.895743,-60.567839 -33.896697,-60.567842 -33.896697,-60.567852 -33.896718,-60.569291 -33.896469,-60.569076 -33.896027,-60.570104 -33.895709,-60.570367 -33.896280,-60.571524 -33.896119,-60.571637 -33.895235,-60.573209 -33.894749,-60.572415 -33.893026,-60.568278 -33.894392))"
"066231802",394,121,22,19,52,28,273,68,122,53,30,207,61,12,12,23,14,146,40,60,30,16,187,60,10,7,29,14,127,28,62,23,14,38,230,90,140,70,13,7,18,52,26,28,6,37,25,47,66,"06","Buenos Aires","06623","Pergamino","066231802",394,125,-33.911178,-60.841992,1.0604008574167,"POLYGON((-60.834288 -33.912502,-60.833449 -33.913176,-60.831255 -33.913105,-60.831240 -33.913338,-60.830430 -33.913342,-60.829357 -33.913356,-60.828117 -33.913344,-60.828113 -33.914561,-60.828132 -33.915640,-60.827015 -33.915641,-60.827201 -33.917914,-60.828190 -33.917082,-60.828799 -33.916695,-60.829460 -33.916209,-60.829979 -33.915701,-60.830783 -33.915167,-60.831209 -33.914833,-60.831549 -33.914634,-60.832875 -33.913579,-60.833162 -33.913601,-60.834447 -33.913582,-60.835662 -33.913599,-60.838201 -33.913608,-60.839432 -33.913622,-60.841492 -33.913588,-60.841889 -33.913586,-60.843238 -33.913598,-60.845733 -33.913596,-60.847075 -33.913611,-60.848357 -33.913631,-60.849477 -33.913669,-60.853517 -33.913493,-60.853411 -33.913360,-60.853375 -33.913323,-60.851430 -33.911443,-60.849378 -33.909482,-60.847297 -33.907622,-60.846008 -33.906359,-60.844416 -33.904897,-60.844221 -33.905042,-60.842388 -33.906363,-60.840680 -33.907582,-60.839808 -33.908370,-60.838950 -33.909013,-60.838541 -33.909349,-60.837693 -33.909948,-60.837048 -33.910390,-60.836797 -33.910549,-60.835655 -33.911436,-60.835398 -33.911658,-60.834880 -33.912048,-60.834288 -33.912502))"
"066230505",1216,319,61,32,127,99,897,191,401,149,156,682,164,34,6,68,56,518,106,226,90,96,534,155,27,26,59,43,379,85,175,59,60,82,794,367,427,260,73,34,32,127,89,98,20,55,95,125,200,"06","Buenos Aires","06623","Pergamino","066230505",1216,423,-33.897115,-60.585018,0.16456229036192,"POLYGON((-60.580142 -33.898055,-60.580491 -33.898679,-60.581448 -33.898255,-60.582129 -33.899480,-60.582976 -33.899146,-60.584131 -33.898767,-60.583906 -33.898332,-60.584906 -33.897991,-60.586747 -33.897400,-60.587692 -33.897059,-60.589689 -33.896393,-60.589282 -33.895587,-60.588913 -33.894818,-60.587920 -33.895158,-60.586938 -33.895488,-60.586027 -33.895803,-60.584176 -33.896433,-60.583209 -33.896765,-60.583132 -33.896789,-60.581086 -33.897562,-60.580110 -33.897998,-60.580142 -33.898055))"
"066230208",690,107,20,13,42,32,583,100,214,137,132,371,49,7,2,24,16,322,52,108,75,87,319,58,13,11,18,16,261,48,106,62,45,43,528,313,215,222,52,39,11,42,30,32,7,23,31,39,85,"06","Buenos Aires","06623","Pergamino","066230208",690,291,-33.896003,-60.558337,0.14147667845211,"POLYGON((-60.556735 -33.897172,-60.557165 -33.898061,-60.557267 -33.898027,-60.557258 -33.898008,-60.558150 -33.897730,-60.558203 -33.897709,-60.559081 -33.897417,-60.560028 -33.897096,-60.561004 -33.896772,-60.561682 -33.896535,-60.562105 -33.896405,-60.562020 -33.896243,-60.561890 -33.896046,-60.561748 -33.895882,-60.561575 -33.895733,-60.561308 -33.895555,-60.561037 -33.895417,-60.560735 -33.895297,-60.560430 -33.895205,-60.560086 -33.895131,-60.559773 -33.895108,-60.558782 -33.895098,-60.558546 -33.895085,-60.558292 -33.895054,-60.558035 -33.895001,-60.557811 -33.894931,-60.557510 -33.894814,-60.557350 -33.894734,-60.557211 -33.894645,-60.557084 -33.894544,-60.556923 -33.894409,-60.556793 -33.894285,-60.556652 -33.894124,-60.556496 -33.893910,-60.556381 -33.893720,-60.556302 -33.893749,-60.555248 -33.894102,-60.556735 -33.897172))"
"066230502",710,186,36,21,72,57,524,108,234,95,87,400,98,22,3,38,35,302,59,132,56,55,310,88,14,18,34,22,222,49,102,39,32,48,466,226,240,157,45,24,20,71,53,57,12,29,54,69,109,"06","Buenos Aires","06623","Pergamino","066230502",710,254,-33.896872,-60.58054,0.085179995334408,"POLYGON((-60.578484 -33.898090,-60.578705 -33.898559,-60.580110 -33.897998,-60.581086 -33.897562,-60.583132 -33.896789,-60.583122 -33.896775,-60.582764 -33.896005,-60.582358 -33.895192,-60.581235 -33.895638,-60.580253 -33.896055,-60.579266 -33.896448,-60.577947 -33.896998,-60.578343 -33.897791,-60.578484 -33.898090))"
"066230209",855,159,33,13,64,49,696,107,285,183,121,455,74,19,6,30,19,381,45,152,103,81,400,85,14,7,34,30,315,62,133,80,40,46,643,356,287,235,61,60,13,64,43,49,16,35,52,69,111,"06","Buenos Aires","06623","Pergamino","066230209",864,326,-33.898393,-60.554843,0.30174479746587,"POLYGON((-60.552749 -33.894905,-60.551958 -33.895171,-60.551950 -33.895150,-60.551442 -33.895325,-60.551952 -33.895833,-60.552481 -33.896304,-60.552743 -33.896549,-60.553556 -33.897257,-60.553753 -33.897439,-60.554210 -33.899002,-60.552869 -33.899433,-60.552405 -33.899580,-60.552375 -33.899577,-60.552439 -33.902439,-60.552530 -33.902408,-60.552530 -33.902415,-60.552928 -33.902275,-60.554057 -33.901907,-60.554594 -33.901718,-60.556175 -33.901210,-60.557273 -33.900844,-60.558348 -33.900501,-60.555232 -33.894070,-60.552749 -33.894905))"
"066230403",737,155,42,12,59,42,582,85,234,129,134,409,72,15,3,29,25,337,45,139,69,84,328,83,27,9,30,17,245,40,95,60,50,30,546,338,208,204,62,72,12,59,40,41,10,23,45,52,88,"06","Buenos Aires","06623","Pergamino","066230403",794,301,-33.897508,-60.56659,0.1557937737347,"POLYGON((-60.564696 -33.895575,-60.563757 -33.895885,-60.563738 -33.895847,-60.562890 -33.896142,-60.562504 -33.896268,-60.562919 -33.897117,-60.564187 -33.896686,-60.565096 -33.896387,-60.565441 -33.897138,-60.565834 -33.897947,-60.566548 -33.899526,-60.566874 -33.900332,-60.567946 -33.899968,-60.568158 -33.900404,-60.569423 -33.899957,-60.569171 -33.899432,-60.568714 -33.898454,-60.567839 -33.896697,-60.567377 -33.895743,-60.566969 -33.894825,-60.564696 -33.895575))"
"066230506",1231,368,72,36,142,118,863,214,398,123,128,686,196,43,11,72,70,490,120,218,72,80,545,172,29,25,70,48,373,94,180,51,48,80,768,344,424,239,76,29,35,142,105,117,24,91,108,158,228,"06","Buenos Aires","06623","Pergamino","066230506",1231,405,-33.899257,-60.587648,0.28189797195133,"POLYGON((-60.583553 -33.900271,-60.583861 -33.900923,-60.584058 -33.901330,-60.584216 -33.901282,-60.584847 -33.901147,-60.585310 -33.901004,-60.585511 -33.900926,-60.585673 -33.900888,-60.585761 -33.900878,-60.585886 -33.900880,-60.586359 -33.900796,-60.586512 -33.900785,-60.586684 -33.900760,-60.586937 -33.900738,-60.587104 -33.900743,-60.587212 -33.900752,-60.587332 -33.900744,-60.587484 -33.900751,-60.588198 -33.900851,-60.588346 -33.900866,-60.588499 -33.900896,-60.588640 -33.900943,-60.588761 -33.900962,-60.588864 -33.900967,-60.589060 -33.901008,-60.589441 -33.901071,-60.589527 -33.901093,-60.589719 -33.901133,-60.589822 -33.901175,-60.589929 -33.901202,-60.590043 -33.901224,-60.590158 -33.901268,-60.590268 -33.901295,-60.590410 -33.901325,-60.590650 -33.901350,-60.590759 -33.901346,-60.590855 -33.901364,-60.591095 -33.901384,-60.591275 -33.901379,-60.591405 -33.901385,-60.591535 -33.901387,-60.591666 -33.901371,-60.591974 -33.901354,-60.592075 -33.901354,-60.591880 -33.900964,-60.591473 -33.900108,-60.591457 -33.900057,-60.591131 -33.899378,-60.591099 -33.899322,-60.590822 -33.898765,-60.590643 -33.898378,-60.590218 -33.897506,-60.590058 -33.897157,-60.589689 -33.896393,-60.587692 -33.897059,-60.586747 -33.897400,-60.584906 -33.897991,-60.583906 -33.898332,-60.584131 -33.898767,-60.582976 -33.899146,-60.583436 -33.900022,-60.583553 -33.900271))"
